ID;SKU;Marca;Temporada;Titulo_Actual;Precio;Precio_Formateado;Cant_Fotos;Tiene_Descripcion;Largo_Desc;Resumen_Desc;Stock_Total;Cant_Variantes_Color;Cant_Modalidades_Curva;Puntaje_Calidad_100;Nivel_Estado;Problemas_Detectados;URL_ERP
4658;"PJ000762";"PETITE JOLIE";"Verano 27";"PJ000762";1.5;"$ 1,50";7;SI;59;"COMBO CHARMS  Kit de 10 llaveros surtidos de Petite Jolie";0;0;0;50;REGULAR;"TITULO_ES_SKU | PRECIO_ANOMALO (<$5k) | SIN_VARIANTES | SIN_STOCK_INMEDIATO | SIN_CURVAS_MODALIDADES";"https://mayoristas.skyblue.com.ar/Products/4658"
3924;"PJ10072";"PETITE JOLIE";"Invierno 26";"PJ10072";47124;"$ 47.124,00 + IVA";11;SI;431;"Estructurado, seguro y funcional, el bolso Olga es ideal par";2;4;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3924"
3925;"PJ10085";"PETITE JOLIE";"Verano 27";"PJ10085";32484;"$ 32.484,00 + IVA";4;SI;843;"Bolso pequeño rectangular negro. Fabricado en J-Lastic con t";2;5;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3925"
4556;"PJ10362II";"PETITE JOLIE";"Todo el año";"PJ10362II";16040;"$ 16.040,00 + IVA";5;NO;0;"";0;3;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/4556"
4557;"PJ10362III";"PETITE JOLIE";"Todo el año";"PJ10362III";18204;"$ 18.204,00 + IVA";5;NO;0;"";0;5;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/4557"
4500;"PJ10676";"PETITE JOLIE";"Todo el año";"PJ10676";18950;"$ 18.950,00 + IVA";4;NO;0;"";3;1;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4500"
4509;"PJ10734B";"PETITE JOLIE";"Verano 27";"PJ10734B";47304;"$ 47.304,00 + IVA";6;NO;0;"";37;7;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4509"
4501;"PJ10752";"PETITE JOLIE";"Todo el año";"PJ10752";14445;"$ 14.445,00 + IVA";1;NO;0;"";10;1;1;45;CRITICO;"SOLO_1_FOTO | TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4501"
4514;"PJ10789";"PETITE JOLIE";"Todo el año";"PJ10789";12250;"$ 12.250,00 + IVA";6;NO;0;"";26;4;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4514"
4515;"PJ10834";"PETITE JOLIE";"Todo el año";"PJ10834";15900;"$ 15.900,00 + IVA";5;NO;0;"";25;4;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4515"
4518;"PJ10860";"PETITE JOLIE";"Todo el año";"PJ10860";9300;"$ 9.300,00 + IVA";4;NO;0;"";21;3;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4518"
4604;"PJ10903";"PETITE JOLIE";"Todo el año";"PJ10903";18950;"$ 18.950,00 + IVA";3;NO;0;"";0;5;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/4604"
4519;"PJ10980";"PETITE JOLIE";"Verano 27";"PJ10980";32484;"$ 32.484,00 + IVA";1;NO;0;"";15;3;1;45;CRITICO;"SOLO_1_FOTO | TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4519"
4508;"PJ11015";"PETITE JOLIE";"Todo el año";"PJ11015";55854;"$ 55.854,00 + IVA";13;NO;0;"";38;4;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4508"
4521;"PJ11053";"PETITE JOLIE";"Todo el año";"PJ11053";52480;"$ 52.480,00 + IVA";7;NO;0;"";11;3;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4521"
4513;"PJ11160";"PETITE JOLIE";"Todo el año";"PJ11160";47304;"$ 47.304,00 + IVA";4;SI;662;"¡El bolso Heaven regresa con un nuevo diseño! Es un bolso to";27;4;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/4513"
4507;"PJ11172";"PETITE JOLIE";"Todo el año";"PJ11172";26784;"$ 26.784,00 + IVA";4;NO;0;"";41;7;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4507"
3930;"PJ11182";"PETITE JOLIE";"Invierno 26";"PJ11182";44447;"$ 44.447,00 + IVA";5;SI;378;"Versátil y auténtico, el bolso Icon es perfecto para crear l";3;1;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3930"
3946;"PJ11274";"PETITE JOLIE";"Invierno 26";"PJ11274";39091;"$ 39.091,00 + IVA";7;SI;566;"Un bolso de compras estructurado con amplio espacio interior";0;4;1;80;EXCELENTE;"TITULO_ES_SKU | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/3946"
4505;"PJ11275";"PETITE JOLIE";"Todo el año";"PJ11275";44447;"$ 44.447,00 + IVA";12;NO;0;"";55;3;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION";"https://mayoristas.skyblue.com.ar/Products/4505"
3931;"PJ11282";"PETITE JOLIE";"Invierno 26";"PJ11282";41769;"$ 41.769,00 + IVA";6;SI;509;"El bolso Petite Jolie Thayla es un modelo moderno inspirado ";1;2;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3931"
3932;"PJ11295";"PETITE JOLIE";"Verano 27";"PJ11295";35334;"$ 35.334,00 + IVA";6;SI;625;"Un bolso cruzado con forma estructurada y correa ancha para ";2;6;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3932"
3933;"PJ11307";"PETITE JOLIE";"Verano 27";"PJ11307";41604;"$ 41.604,00 + IVA";8;SI;463;"Rocky es sinónimo de practicidad. Cuenta con bolsillo fronta";0;1;1;80;EXCELENTE;"TITULO_ES_SKU | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/3933"
3934;"PJ11321";"PETITE JOLIE";"Invierno 26";"PJ11321";47124;"$ 47.124,00 + IVA";9;SI;513;"El bolso Petite Jolie Amalfi es un bolso shopper espacioso y";1;3;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3934"
3935;"PJ11333";"PETITE JOLIE";"Invierno 26";"PJ11333";33200;"$ 33.200,00 + IVA";5;SI;307;"La Petite Jolie Thayla (PJ11333) es una bolsa estilo baguete";1;1;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3935"
4522;"PJ11335";"PETITE JOLIE";"Todo el año";"PJ11335";25166;"$ 25.166,00 + IVA";2;NO;0;"";0;2;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/4522"
3936;"PJ11335";"PETITE JOLIE";"Verano 27";"PJ11335";26784;"$ 26.784,00 + IVA";10;SI;625;"Un bolso cruzado con forma estructurada y correa ancha para ";18;8;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3936"
4572;"PJ11352";"PETITE JOLIE";"Verano 27";"PJ11352";35334;"$ 35.334,00 + IVA";4;NO;0;"";0;4;1;55;REGULAR;"TITULO_ES_SKU | SIN_DESCRIPCION | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/4572"
3937;"PJ11353";"PETITE JOLIE";"Invierno 26";"PJ11353";47124;"$ 47.124,00 + IVA";9;SI;242;"Bolso precioso con textura, cierre de cremallera y gran espa";0;3;1;80;EXCELENTE;"TITULO_ES_SKU | SIN_STOCK_INMEDIATO";"https://mayoristas.skyblue.com.ar/Products/3937"
3938;"PJ11355";"PETITE JOLIE";"Invierno 26";"PJ11355";27924;"$ 27.924,00 + IVA";11;SI;744;"Fervo es un pequeño bolso J-Lastic , perfecto para llevar so";2;9;1;80;EXCELENTE;"TITULO_ES_SKU";"https://mayoristas.skyblue.com.ar/Products/3938"
