ID,SKU,Marca,Titulo,Temporada,Precio_ARS,Precio_Formateado,Disponible,Stock_Total,Colores_Disponibles,Talles_Disponibles,Modalidades_Compra,Descripcion,Imagen_Principal,Todas_Las_Imagenes,URL_Producto
"4658","PJ000762","PETITE JOLIE","PJ000762","Verano 27","1.5","$ 1,50","NO","0","","","","COMBO CHARMS  Kit de 10 llaveros surtidos de Petite Jolie","https://images.ib2c.com.ar/repository/310/productsList/5349230.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://images.ib2c.com.ar/repository/310/productsList/5349230.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5349231.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5349232.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5349233.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5349234.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5349235.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5349229.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://mayoristas.skyblue.com.ar/Products/4658"
"3924","PJ10072","PETITE JOLIE","PJ10072","Invierno 26","47124","$ 47.124,00 + IVA","SI","2","ARENA; Chocolate; DULCE DE LECHE; Negro","Unico","Unidades sueltas","Estructurado, seguro y funcional, el bolso Olga es ideal para el uso diario. Su textura acolchada le da un toque moderno, y sus correas con detalles de cadena le aportan un aire contemporáneo.  Material: J-Lastic (PVC exclusivo de Petite Jolie) Correa extraíble: No Altura: 26 centímetros Abertura superior: 30 centímetros Parte inferior: 30 centímetros Profundidad: 9 centímetros Correa de mano ligera: 22 x 40 centímetros","https://images.ib2c.com.ar/repository/310/productsList/5312203.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://images.ib2c.com.ar/repository/310/productsList/5312203.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312205.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312206.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312207.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312208.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312209.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312210.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312211.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345524.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345525.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5312204.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://mayoristas.skyblue.com.ar/Products/3924"
"3925","PJ10085","PETITE JOLIE","PJ10085","Verano 27","32484","$ 32.484,00 + IVA","SI","2","ARENA; Blanco; DULCE DE LECHE; Negro; NEGRO MULTI","Unico","Unidades sueltas","Bolso pequeño rectangular negro. Fabricado en J-Lastic con textura de nailon, cuenta con dos aberturas, una más grande y otra más pequeña. Tiene una correa larga y ajustable de grosgrain con el logo, todo en negro. Se cierra con cremallera y lleva una etiqueta con el nombre de la marca en la solapa. ¡El bolso favorito de Petite Jolie llega en nuevos colores! El bolso Ted viene en un diseño monocromático para que puedas lucirlo con estilo en diferentes ocasiones. ¿Para el día a día? ¿O para una fiesta? ¡Para cualquier ocasión, llévate tu Ted y completa tu look!   Material: J-Lastic (PVC exclusivo de Petite Jolie) Cierre: Cremallera Correa para el hombro: 68 - 135 centímetros Ajustable: Sí Desmontable: No Altura: 18 centímetros Abertura superior: 13 centímetros Abertura inferior: 13 centímetros Profundidad: 4,5 centímetros","https://images.ib2c.com.ar/repository/310/productsList/5345348.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://images.ib2c.com.ar/repository/310/productsList/5345348.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345349.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345350.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345347.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://mayoristas.skyblue.com.ar/Products/3925"
"4556","PJ10362II","PETITE JOLIE","PJ10362II","Todo el a&#xF1;o","16040","$ 16.040,00 + IVA","SI","0","Celeste; LILA; Rosa","Unico","Unidades sueltas","","https://images.ib2c.com.ar/repository/310/productsList/5255912.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://images.ib2c.com.ar/repository/310/productsList/5255912.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://acdn-us.mitiendanube.com/stores/001/362/552/products/tmp_b64_1eebf1bb-cd2a-4d4f-9d73-33f5e3292583_1362552_1400800-188f0b6cad6f0b48c017703873230775-1024-1024.png | https://acdn-us.mitiendanube.com/stores/001/362/552/products/captura-de-pantalla-2026-02-06-111429-a4b983efe3a0fce49d17703873124102-1024-1024.png | https://acdn-us.mitiendanube.com/stores/001/362/552/products/captura-de-pantalla-2026-02-06-111450-ae751bd8c5e428937317703873126206-1024-1024.png | https://acdn-us.mitiendanube.com/stores/001/362/552/products/captura-de-pantalla-2026-02-06-111408-8c9baa7f07c91cc0f517703873123588-1024-1024.png","https://mayoristas.skyblue.com.ar/Products/4556"
"4557","PJ10362III","PETITE JOLIE","PJ10362III","Todo el a&#xF1;o","18204","$ 18.204,00 + IVA","SI","0","Blanco; CORAL; CREMA; LIMON; Negro","Unico","Unidades sueltas","","https://images.ib2c.com.ar/repository/310/productsList/5255916.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://images.ib2c.com.ar/repository/310/productsList/5255916.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://acdn-us.mitiendanube.com/stores/001/362/552/products/367211-1200-auto-3da401add3566a22dd17665804938754-1024-1024.webp | https://acdn-us.mitiendanube.com/stores/001/362/552/products/367212-1200-auto-110674524cd422c7ad17665804956454-1024-1024.webp | https://acdn-us.mitiendanube.com/stores/001/362/552/products/367213-1200-auto-b2efe0f8019fe959f517665804983623-1024-1024.webp | https://acdn-us.mitiendanube.com/stores/001/362/552/products/tmp_b64_f578428d-341c-4ed9-8a14-75bd01abba56_1362552_1400800-8ea72d6781fd33347817665805044434-1024-1024.webp","https://mayoristas.skyblue.com.ar/Products/4557"
"4500","PJ10676","PETITE JOLIE","PJ10676","Todo el a&#xF1;o","18950","$ 18.950,00 + IVA","SI","3","NUDE","Unico","Unidades sueltas","","https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10676_c_2-09388cda86b3c9b69e16985124613746-1024-1024.jpg","https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10676_c_2-09388cda86b3c9b69e16985124613746-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10676_c_3-8e78666065b192aaf416985124628936-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10676_c_4-608a880c3cf790c994169851246446761-5ea4ced16be906305f16985125207848-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10676_c_1-78d6ce65e5a2a85abd169851245971351-c13fac961865e0781516985125207358-1024-1024.jpg","https://mayoristas.skyblue.com.ar/Products/4500"
"4509","PJ10734B","PETITE JOLIE","PJ10734B","Verano 27","47304","$ 47.304,00 + IVA","SI","37","ARENA; DULCE DE LECHE; Fucsia; Lima; Negro; NUDE; TRANSLUCIDO","Unico","Unidades sueltas","","https://images.ib2c.com.ar/repository/310/productsList/5345503.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://images.ib2c.com.ar/repository/310/productsList/5345503.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345505.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345506.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345507.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345508.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white | https://images.ib2c.com.ar/repository/310/productsList/5345504.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://mayoristas.skyblue.com.ar/Products/4509"
"4501","PJ10752","PETITE JOLIE","PJ10752","Todo el a&#xF1;o","14445","$ 14.445,00 + IVA","SI","10","Fucsia","Unico","Unidades sueltas","","https://images.ib2c.com.ar/repository/310/productsList/5337912.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://images.ib2c.com.ar/repository/310/productsList/5337912.jpg?width=1024&height=1024&format=webp&rmode=pad&rcolor=white","https://mayoristas.skyblue.com.ar/Products/4501"
"4514","PJ10789","PETITE JOLIE","PJ10789","Todo el a&#xF1;o","12250","$ 12.250,00 + IVA","SI","26","AMBAR; Negro; NUDE; Violeta","Unico","Unidades sueltas","","https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10789_c_2-435ac894a9f3abebd317525059912440-640-0-0a95e34d13af7dcfc717525060901411-1024-1024.jpg","https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10789_c_2-435ac894a9f3abebd317525059912440-640-0-0a95e34d13af7dcfc717525060901411-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10789_c_3-3651f2d1b21855b74017525059922699-640-0-0e08d0afef63d3c4a917525060919823-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10789_c_4-509f55fa75a255c4c417525059934699-640-0-21f303836f6a798a7717525060936535-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10789_e_1-2f51ae70e00fe2dfc516978407595238-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10789_e_2-7d61670e19929b3dce16978407624230-1024-1024.jpg | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pj10789_c_1-75372776040c52cacc169867069141331-7c77e03f0f0893a8c717525059901393-640-0-c8d41d455bb9e879af17525060882187-1024-1024.jpg","https://mayoristas.skyblue.com.ar/Products/4514"
"4515","PJ10834","PETITE JOLIE","PJ10834","Todo el a&#xF1;o","15900","$ 15.900,00 + IVA","SI","25","AZUL; Blanco; Fucsia; Negro","Unico","Unidades sueltas","","https://acdn-us.mitiendanube.com/stores/001/362/552/products/gemini_generated_image_d5hte6d5hte6d5ht-2fe8fe93b379e9ffa317611438670852-1024-1024.png","https://acdn-us.mitiendanube.com/stores/001/362/552/products/gemini_generated_image_d5hte6d5hte6d5ht-2fe8fe93b379e9ffa317611438670852-1024-1024.png | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pantuflas-crocs-850ch-8-ac1f88f647d9a4439e17611438864691-1024-1024.png | https://acdn-us.mitiendanube.com/stores/001/362/552/products/pantuflas-crocs-850ch-1-6f6d9a3ae0a70954cd17606272661083-1024-1024.png | https://acdn-us.mitiendanube.com/stores/001/362/552/products/tmp_b64_450ccfc8-a8b6-412d-8476-808c94970ebe_1362552_1400800-845b7f53cd78c2528117646031562200-1024-1024.webp | https://acdn-us.mitiendanube.com/stores/001/362/552/products/gemini_generated_image_z5x67az5x67az5x6-bd21434236ee1d835e17611390642881-1024-1024.png","https://mayoristas.skyblue.com.ar/Products/4515"
