Producto_ID,SKU,Marca,Titulo,Temporada,Color,Color_ID,Talle,Talle_ID,Stock_Variante,Precio_Variante,URL_Producto
"4658","PJ000762","PETITE JOLIE","PJ000762","Verano 27","","","","","0","$ 1,50","https://mayoristas.skyblue.com.ar/Products/4658"
"3924","PJ10072","PETITE JOLIE","PJ10072","Invierno 26","ARENA","406","Unico","61","0","$ 47.124,00","https://mayoristas.skyblue.com.ar/Products/3924"
"3924","PJ10072","PETITE JOLIE","PJ10072","Invierno 26","Chocolate","401","Unico","61","0","$ 47.124,00","https://mayoristas.skyblue.com.ar/Products/3924"
"3924","PJ10072","PETITE JOLIE","PJ10072","Invierno 26","DULCE DE LECHE","584","Unico","61","0","$ 47.124,00","https://mayoristas.skyblue.com.ar/Products/3924"
"3924","PJ10072","PETITE JOLIE","PJ10072","Invierno 26","Negro","2","Unico","61","2","$ 47.124,00","https://mayoristas.skyblue.com.ar/Products/3924"
"3925","PJ10085","PETITE JOLIE","PJ10085","Verano 27","ARENA","406","Unico","61","0","$ 32.484,00","https://mayoristas.skyblue.com.ar/Products/3925"
"3925","PJ10085","PETITE JOLIE","PJ10085","Verano 27","Blanco","283","Unico","61","0","$ 32.484,00","https://mayoristas.skyblue.com.ar/Products/3925"
"3925","PJ10085","PETITE JOLIE","PJ10085","Verano 27","DULCE DE LECHE","584","Unico","61","0","$ 32.484,00","https://mayoristas.skyblue.com.ar/Products/3925"
"3925","PJ10085","PETITE JOLIE","PJ10085","Verano 27","Negro","2","Unico","61","0","$ 32.484,00","https://mayoristas.skyblue.com.ar/Products/3925"
"3925","PJ10085","PETITE JOLIE","PJ10085","Verano 27","NEGRO MULTI","594","Unico","61","2","$ 32.484,00","https://mayoristas.skyblue.com.ar/Products/3925"
"4556","PJ10362II","PETITE JOLIE","PJ10362II","Todo el a&#xF1;o","Celeste","383","Unico","61","0","$ 16.040,00","https://mayoristas.skyblue.com.ar/Products/4556"
"4556","PJ10362II","PETITE JOLIE","PJ10362II","Todo el a&#xF1;o","LILA","372","Unico","61","0","$ 16.040,00","https://mayoristas.skyblue.com.ar/Products/4556"
"4556","PJ10362II","PETITE JOLIE","PJ10362II","Todo el a&#xF1;o","Rosa","266","Unico","61","0","$ 16.040,00","https://mayoristas.skyblue.com.ar/Products/4556"
